Filename-->;102m.RFL8;233m.RFL8;2746m.RFL8;279m.RFL8;307m.RFL8;485m.RFL8;5405m.RFL8;603m.RFL8;7547m.RFL8;807m.RFL8;102m;233c;2746c;279c;307c;485c;5405c;603c;7545c;812c;7545m.RFL8;812m.RFL8
0.629975;0.0940123;0.06498875;0.00710023;0.02138314;0.00491791;0.08599282;0.01582282;0.08357343;0.00681423;0.06926512;1.02342949;0.86614377;0.08361911;0.21747809;0.05571245;0.8361055;0.002174781;0.78830951;0.1665563;0.87481033;0.165787138;1.034542959
0.635198;0.09486159;0.06572513;0.00752052;0.02224668;0.00501673;0.08743352;0.01633598;0.08273715;0.00663642;0.06862545;1.03265951;0.85428598;0.09219943;0.21775386;0.05925975;0.84400077;0.002177539;0.77940046;0.16563404;0.86984055;0.168587553;1.020145001
0.639839;0.09490293;0.06689037;0.0079639;0.02304427;0.00531915;0.0875403;0.01706998;0.08318119;0.00703782;0.06826086;1.02945758;0.86719078;0.09440088;0.22596308;0.06140869;0.85237027;0.002259631;0.79208899;0.17464666;0.87343093;0.174554697;1.019628736
0.645056;0.09421511;0.0681752;0.00865098;0.02471576;0.00597027;0.08804527;0.0181643;0.08330774;0.00781294;0.06892487;1.04322177;0.85996024;0.0948882;0.24080131;0.06259546;0.87409365;0.002408013;0.79789572;0.17429083;0.86906999;0.190812984;1.007886478
0.650271;0.0939796;0.06690657;0.00795377;0.02460827;0.00471862;0.08740678;0.01713197;0.08274694;0.00648821;0.06785697;1.03186709;0.86089764;0.10477738;0.24914951;0.05442943;0.86035249;0.002491495;0.78558442;0.17302468;0.87409342;0.184226597;1.007706053
0.654904;0.09484088;0.06952027;0.00931466;0.02551591;0.00558955;0.08803743;0.01836413;0.08450659;0.00726401;0.06949967;1.03006819;0.87892854;0.11109723;0.25982321;0.05725635;0.86754573;0.002598232;0.77859894;0.17903931;0.87998452;0.189167837;1.008054247
0.660113;0.09565785;0.06845861;0.00963714;0.0263675;0.00588396;0.08876822;0.01855139;0.08430173;0.00724581;0.06976685;1.0455164;0.8742588;0.11102605;0.26226456;0.06462883;0.86231586;0.002622646;0.79623537;0.18571197;0.87727168;0.191457104;0.978321323
0.664741;0.09554922;0.06934034;0.01015383;0.02753587;0.00585257;0.08919222;0.01889236;0.08447608;0.00726952;0.07036446;1.04607706;0.85636554;0.12559868;0.26373911;0.06885886;0.86195064;0.002637391;0.80072994;0.18753999;0.87228789;0.192340601;0.958968664
0.669944;0.09535416;0.06921657;0.01048454;0.02784942;0.00570683;0.08801297;0.01961444;0.08360127;0.00752656;0.06910573;1.04490794;0.86673936;0.11338061;0.27410757;0.06142145;0.85806221;0.002741076;0.7898382;0.18943259;0.88060648;0.200188337;0.962547712
0.675145;0.09447981;0.06948461;0.01202688;0.030774;0.00605637;0.08790498;0.02146177;0.08372268;0.00807345;0.06835986;1.0297409;0.87613479;0.12493661;0.28736572;0.05807172;0.87064046;0.002873657;0.794163;0.19208338;0.88330906;0.207451294;0.953572496
0.679765;0.09526256;0.06754898;0.01197097;0.03070546;0.00578707;0.08840323;0.0204193;0.08308862;0.00764411;0.06626617;1.01701277;0.87327421;0.13433659;0.30013452;0.06005063;0.86932702;0.003001345;0.79688083;0.1923196;0.87310458;0.200473945;0.930946189
0.684959;0.09432008;0.06933872;0.01292926;0.03309286;0.00593759;0.08773593;0.02200866;0.08242898;0.00822252;0.06556223;1.02642409;0.87175752;0.1445583;0.31633363;0.05998766;0.87259362;0.003163336;0.79747357;0.20600511;0.8741568;;
0.690151;0.09392389;0.06787987;0.01348612;0.03430186;0.00551197;0.08852492;0.02265717;0.08257708;0.00792978;0.06444618;1.03123615;0.8681548;0.15334759;0.33566171;0.06515534;0.86940543;0.003356617;0.7926984;0.20809673;0.878624;;
0.694763;0.09489202;0.06868233;0.01419685;0.03620757;0.00557415;0.08805804;0.023375;0.08368237;0.00800931;0.06294108;1.03574567;0.8672483;0.17117265;0.35627338;0.06157213;0.86453989;0.003562734;0.78472507;0.20855532;0.8773198;;
0.699948;0.09478066;0.06890312;0.01602512;0.03962871;0.00557984;0.08762395;0.0250888;0.08354925;0.00844072;0.06184805;1.02933901;0.87935985;0.17708273;0.37920668;0.06102071;0.88229481;0.003792067;0.80259222;0.21575495;0.89168598;;
0.70513;0.09679271;0.0684662;0.0166453;0.04103824;0.00564789;0.08909233;0.02548281;0.08468299;0.00838528;0.06051625;1.04038827;0.87591615;0.19243538;0.40967149;0.07128893;0.88053886;0.004096715;0.81053063;0.22830108;0.88600319;;
0.709734;0.09516;0.06735395;0.01769712;0.04355647;0.00567538;0.08709117;0.02657664;0.08319342;0.0086538;0.05973198;1.04241766;0.88484575;0.20867159;0.43945403;0.06823362;0.87370945;0.00439454;0.7961358;0.23813104;0.89169386;;
0.714911;0.0961166;0.06842338;0.01905897;0.04710086;0.00595412;0.0876297;0.02770453;0.08328567;0.00904234;0.05961403;1.02643115;0.8674298;0.22768532;0.47181727;0.07425143;0.88481661;0.004718173;0.80782969;0.23709214;0.89074861;;
0.720084;0.09707316;0.06999869;0.02163126;0.05056604;0.00624561;0.08950462;0.02884953;0.08419294;0.00910572;0.06055941;1.05380354;0.86474486;0.23488026;0.49239001;0.07134091;0.87276312;0.0049239;0.80365639;0.24682094;0.87631883;;
0.725254;0.09775873;0.07076905;0.02348015;0.05504753;0.00692079;0.08860051;0.03151448;0.0848989;0.00984326;0.06296379;1.02867625;0.86790986;0.26190165;0.51863128;0.08128385;0.88000634;0.005186313;0.79455454;0.24877844;0.88089392;;
0.729847;0.09724892;0.06917587;0.02529146;0.05759433;0.00721651;0.08865289;0.03179892;0.08432507;0.0097997;0.06501823;1.03594567;0.87446909;0.28264278;0.55921855;0.06604233;0.88146089;0.005592186;0.80998465;0.26012591;0.89911447;;
0.735011;0.09593642;0.06853951;0.02706489;0.05982599;0.00772506;0.08713841;0.03170762;0.08277774;0.00902149;0.06676914;1.02588334;0.88591627;0.2995211;0.58828718;0.08344409;0.87917583;0.005882872;0.80541044;0.26241145;0.89060504;;
0.740172;0.09791413;0.06993395;0.02915267;0.06554504;0.00828237;0.08916171;0.03312265;0.08467111;0.00952106;0.07151791;1.05237819;0.8767466;0.33186338;0.61055164;0.10045954;0.89022043;0.006105516;0.81199357;0.26197565;0.8993758;;
0.744757;0.09681799;0.06997514;0.03131146;0.0671396;0.00939095;0.08780366;0.03295327;0.0837996;0.00971784;0.07446503;1.04920957;0.89763865;0.35126791;0.63929143;0.12351564;0.88868766;0.006392914;0.80575084;0.25941072;0.89319968;;
0.749911;0.09860418;0.0696615;0.03458155;0.07046421;0.01285778;0.08993107;0.03502153;0.08546305;0.00999164;0.08067874;1.04643335;0.87156575;0.36522741;0.67891928;0.13352866;0.8708272;0.006789193;0.80477354;0.28366444;0.89340659;;
